Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,SUBZONE_N
0.4924610078824828,5122.252792520097,10458.081465043411,11223.16328786011,12593.503016798868,13975.923483775301,ALJUNIED
0.4705994884623526,4067.156259601177,5603.213452335613,5317.299339523495,7042.132011017758,19689.614782495068,ANAK BUKIT
0.49153216000409755,17236.756102901978,14465.103663234464,19500.791782890992,11801.69278122958,10323.2064917102,ANCHORVALE
0.4801000791429776,10976.204111651998,18958.853120997275,22056.100937844025,27943.15344630612,8936.342608658615,BEDOK NORTH
0.4962674908649693,4860.62699378761,7077.883635679965,7833.619186774924,6448.624985321997,12714.717734510043,BEDOK RESERVOIR
0.47872504719955083,5665.721819436764,9893.373109948325,11763.126877435518,15763.298038644914,15270.842273540045,BEDOK SOUTH
0.4702062193944375,116.33704908684464,312.8150821791655,372.8252500908198,403.3598320491194,8836.40680564491,BENCOOLEN
0.4820399908925356,6775.427603969095,10041.168823591586,10735.45792746561,14637.478285987612,9587.868321348704,BENDEMEER
0.4669744585784011,1854.9028397878699,3065.0276441711794,3335.1024072394507,4130.369241753892,7844.0187663102715,BOON KENG
0.5393438732098048,66.71589515013547,94.56104252400567,81.29334949634689,124.04308904551938,20536.000000000022,BOULEVARD
0.4855020496402367,5269.340598409856,7630.445815792033,7192.7882026109555,7979.517209247034,8880.00462548799,BUKIT BATOK CENTRAL
0.47542257251846537,3651.2624262288764,6455.84732635544,7564.451384808043,9389.978940756211,6984.291220885777,CHENG SAN
0.5064533331513319,21.341624049649173,43.74775448396141,44.61089986431823,8.750010624824688,20536.000000000022,CLARKE QUAY
0.4600352452576233,4874.92842302221,7681.400301145826,7854.702713253199,8477.670785730013,7518.110050603697,CLEMENTI NORTH
0.45020173453798923,269.25804521442126,983.9352206660753,1923.530810726712,2487.224043319995,4482.131317021178,COMMONWEALTH
0.48243394352783125,6274.303179382159,6784.000690206885,10130.582723377887,3505.7307076716356,11085.988938279355,COMPASSVALE
0.4489052882119647,2002.2619859147237,1426.1286451868896,2160.546077050545,1659.243202362224,24029.75183106376,CORONATION ROAD
0.5524175863078711,212.6630546323953,740.8798322869684,1340.3747023295116,3574.2789505860783,5004.529462740378,CRAWFORD
0.4794740692824258,1931.6365218821968,2024.6804426894294,3427.5070779812286,1520.5522402510846,21890.934142401697,DAIRY FARM
0.4711141210750041,1998.9893378968677,1499.153654632773,3017.70208178137,1216.1912473573016,19006.187607496715,FARRER COURT
0.4932308873881611,234.8040500472354,536.753865990625,725.7501433402625,749.0862203064934,8771.6221088564,FARRER PARK
0.49134110054816355,21789.944590698542,19692.454212259083,40199.39628510414,11981.567527284735,12016.899186471244,FERNVALE
0.49524896095763654,661.6156671647599,1819.8225100664006,2961.9349547264032,3906.337701037174,6274.095964912505,GEYLANG BAHRU
0.4823350206024387,3811.218496945803,4764.856999229067,7864.466625996981,8494.666393256977,12953.767034722328,GEYLANG EAST
0.4833664072405312,1944.4398825545998,3278.3965808560133,4023.6659078178072,3611.1820338153343,13431.181964343996,GUILIN
0.4382811103188306,2778.198756536055,2293.3808240622984,3545.26545532437,2410.413910773272,22728.39241171877,HOLLAND ROAD
0.4956585288780148,622.0294342488427,1362.3854914475219,1059.6157267413741,1736.8664919445202,14827.960745436787,HOUGANG CENTRAL
0.4866791335373179,1398.7568642098593,2352.0521781322186,2561.3337923023023,2328.694033983705,14782.698769499459,JOO SENG
0.494683933682028,8753.205425277822,13430.176428220146,21294.620525356535,13943.247112862797,10063.266143988474,JURONG WEST CENTRAL
0.4857026291745392,4536.832014391857,9015.405780925927,7761.391207705208,12399.631098730273,9627.928280719065,KAKI BUKIT
0.49406739604027344,1431.9099423136456,2762.208556936633,2362.4519182678728,3688.187774884424,8378.756329142103,KAMPONG UBI
0.49205139605375486,5281.953008673627,7773.224923612421,8544.200591431709,13504.72310266855,13114.997123081146,KEMBANGAN
0.4814507522804937,1178.1666146789098,2564.3541249141563,1827.847430255997,4228.671197233569,8197.301024247303,KHATIB
0.4798107427493853,3756.476219018479,6873.0671633865795,6385.3868196673875,6648.211887679423,21494.446306413818,KOVAN
0.5218367234281611,1488.31770612331,2022.9005687957454,2978.6941513216516,2766.815876284724,21536.32797110164,LAVENDER
0.45825148293892476,1381.0085541052993,1428.296964809654,2153.1972732169647,1613.289596348521,24092.406267180704,LEEDON PARK
0.48037685888682063,1616.9811727861575,2229.730317283328,2450.7159134202875,2495.0752405336407,23316.96631639256,LORONG CHUAN
0.49270481951862755,4343.932693840962,7490.6873751254425,7100.219608614504,10583.609028416427,8385.774266861246,MACPHERSON
0.47836595604380666,878.4077007404342,740.22418096668,2145.773374891497,1171.9642938825832,20609.917858837653,MARITIME SQUARE
0.48819745345157034,18149.352411085918,18905.659524010247,28547.467976519096,8197.37879601429,10331.212938467905,MATILDA
0.4662683959095281,1878.7336456873568,3570.6782372749426,4077.6442529060982,5017.062163948486,11434.504861704801,MEI CHIN
0.527769831209237,2636.2107423577613,2150.941149857843,3978.5891782415606,1444.1255406514426,21090.73030432991,MOULMEIN
0.471097876121537,2843.9042860990803,2062.076400143123,1073.418806780687,2289.9002165116253,21442.949598146068,NASSIM
0.38839804505743497,42.40381214242521,188.3682412278522,48.21649260633619,6.185446364883402,0.0,NATIONAL UNIVERSITY OF S'PORE
0.47278567718146153,776.6076286764012,986.3203200000039,1320.3928370285926,1066.6497085949084,21330.577826118064,NATURE RESERVE
0.5293959541620534,67.97944656286765,11408.52884174598,198.94659989873637,144.09713259238535,16215.167014355395,NORTHSHORE
0.48094070827089286,178.70633483806606,181.57963589222183,377.5281539236689,47.50342935528123,21106.295103910415,ONE NORTH
0.49015272488730527,842.2274434431528,1240.1019777408158,1675.2508480947415,1119.3471887222815,21880.882791458287,PASIR PANJANG 1
0.48413396072528014,6938.739890381314,11525.53145559419,12345.755444812763,9213.703388758066,13159.160952455642,PASIR RIS CENTRAL
0.4685188214027722,12.32516871028481,42.149910840072025,8.991005219436172,27.758108324083363,25942.959311171107,PORT
0.4697778957773075,1717.0611065864964,2675.073548398554,2957.4713421920837,3805.3911121523392,9030.859762660511,POTONG PASIR
0.4933407757515003,13138.094319787097,11882.92812423844,21044.73853596347,10669.777821312548,11477.691767608616,PUNGGOL FIELD
0.4924586078324902,16173.705398163662,12103.53576649525,22322.664862090824,4768.402312226665,9151.312102020738,PUNGGOL TOWN CENTRE
0.48539235213081655,1896.3323777112107,902.1263830716681,3561.187380632592,2492.991978592022,15115.61556884011,REDHILL
0.4916072590021685,5378.049856693798,16989.25796217303,17191.40781639273,14652.377631991803,10915.17842311689,RIVERVALE
0.4843840528055255,7635.103887200062,9526.150363142255,12649.322016300686,9268.184419332512,10585.02247439524,SEMBAWANG CENTRAL
0.4957507861797347,9366.88593240088,8235.874359335417,5492.1123174270515,1845.8720161373242,19895.122356546737,SEMBAWANG SPRINGS
0.48742528621257475,14423.147011238512,18401.754860870293,19446.786278157266,15814.600416019228,10493.815845484607,SENGKANG TOWN CENTRE
0.4802858393749088,4765.77751250489,8183.35570769411,10651.324181331189,11993.661684554687,14674.184665225986,SIMEI
0.4974913476275098,224.79111141078116,372.85238615917433,484.8107869616746,678.6207165088251,4669.573964228358,SUNGEI ROAD
0.4937032059562047,8816.20171930937,11622.82082386435,13650.170653200026,9631.663518934629,10488.617350474706,TAMAN JURONG
0.4857055630344884,18670.117649984986,26002.917486116556,31163.876237153687,40363.34131368649,8937.417560459027,TAMPINES EAST
0.48903044453173194,15265.233779987742,23922.9262142743,20913.44272627138,23779.495069823173,10328.011754292267,TAMPINES WEST
0.4753420134700528,1889.3022598140947,2189.5743966087084,4131.375544237073,2888.380113979973,16556.554073425712,TANJONG RHU
0.4693961682100178,1430.7826252392429,2990.586669601845,4299.597518949759,4556.872394614458,9303.172471120202,TIONG BAHRU STATION
0.45995786974138825,4363.950487592631,7007.4943958755375,8640.696104435283,7527.213637381779,9055.311413961354,TOA PAYOH CENTRAL
0.45508199063517746,2022.0687975115084,3422.0029530335373,3976.1470404205666,5695.620611992944,9263.42924989612,TOA PAYOH WEST
0.4897240088461656,113.42873433526371,177.07396687174761,190.0,189.26711916923554,26057.999999999956,TURF CLUB
0.47862014223598665,4878.017683962292,6953.137569280906,7765.209801173635,9249.573036547486,16804.106414466536,UPPER THOMSON
0.483591660264442,88.10391540003077,276.5373515299376,410.6256267441197,702.0406024248879,7370.352759342298,VICTORIA
0.4948429502365473,20729.174355073286,19196.08085477955,32524.77917703091,7367.837088386034,10233.068491486923,WATERWAY EAST
0.4974751148252037,21820.835204531377,29345.543638559295,32416.392273318605,23409.661388281296,9628.062327094267,WOODLANDS EAST
0.5039892906735587,6106.183178673279,9709.618690186766,9311.253661864816,10994.809352797809,7373.988047863171,WOODLANDS WEST
0.49759230520917963,4707.983975074704,10597.570993274876,11633.5024345176,10049.571598227538,11200.734757754111,YEW TEE
0.49320716779183665,5586.482555057765,11041.79083298344,15295.01337750677,16387.11658988332,9103.165953062544,YISHUN WEST
